period,one_week_repo_rate_percent
2013-01,5.50
2013-02,5.50
2013-03,5.50
2013-04,5.00
2013-05,4.50
2013-06,4.50
2013-07,4.50
2013-08,4.50
2013-09,4.50
2013-10,4.50
2013-11,4.50
2013-12,4.50
2014-01,10.00
2014-02,10.00
2014-03,10.00
2014-04,10.00
2014-05,9.50
2014-06,8.75
2014-07,8.25
2014-08,8.25
2014-09,8.25
2014-10,8.25
2014-11,8.25
2014-12,8.25
2015-01,7.75
2015-02,7.50
2015-03,7.50
2015-04,7.50
2015-05,7.50
2015-06,7.50
2015-07,7.50
2015-08,7.50
2015-09,7.50
2015-10,7.50
2015-11,7.50
2015-12,7.50
2016-01,7.50
2016-02,7.50
2016-03,7.50
2016-04,7.50
2016-05,7.50
2016-06,7.50
2016-07,7.50
2016-08,7.50
2016-09,7.50
2016-10,7.50
2016-11,8.00
2016-12,8.00
2017-01,8.00
2017-02,8.00
2017-03,8.00
2017-04,8.00
2017-05,8.00
2017-06,8.00
2017-07,8.00
2017-08,8.00
2017-09,8.00
2017-10,8.00
2017-11,8.00
2017-12,8.00
2018-01,8.00
2018-02,8.00
2018-03,8.00
2018-04,8.00
2018-05,8.00
2018-06,17.75
2018-07,17.75
2018-08,17.75
2018-09,24.00
2018-10,24.00
2018-11,24.00
2018-12,24.00
2019-01,24.00
2019-02,24.00
2019-03,24.00
2019-04,24.00
2019-05,24.00
2019-06,24.00
2019-07,19.75
2019-08,19.75
2019-09,16.50
2019-10,14.00
2019-11,14.00
2019-12,12.00
2020-01,11.25
2020-02,10.75
2020-03,9.75
2020-04,8.75
2020-05,8.25
2020-06,8.25
2020-07,8.25
2020-08,8.25
2020-09,10.25
2020-10,10.25
2020-11,15.00
2020-12,17.00
2021-01,17.00
2021-02,17.00
2021-03,19.00
2021-04,19.00
2021-05,19.00
2021-06,19.00
2021-07,19.00
2021-08,19.00
2021-09,18.00
2021-10,16.00
2021-11,15.00
2021-12,14.00
2022-01,14.00
2022-02,14.00
2022-03,14.00
2022-04,14.00
2022-05,14.00
2022-06,14.00
2022-07,14.00
2022-08,13.00
2022-09,12.00
2022-10,10.50
2022-11,9.00
2022-12,9.00
2023-01,9.00
2023-02,8.50
2023-03,8.50
2023-04,8.50
2023-05,8.50
2023-06,15.00
2023-07,17.50
2023-08,25.00
2023-09,30.00
2023-10,35.00
2023-11,40.00
2023-12,42.50
2024-01,45.00
2024-02,45.00
2024-03,50.00
2024-04,50.00
2024-05,50.00
2024-06,50.00
2024-07,50.00
2024-08,50.00
2024-09,50.00
2024-10,50.00
2024-11,50.00
2024-12,47.50
2025-01,45.00
2025-02,45.00
2025-03,42.50
2025-04,46.00
2025-05,46.00
2025-06,46.00
2025-07,43.00
2025-08,43.00
2025-09,40.50
2025-10,39.50
2025-11,39.50
2025-12,38.00
2026-01,37.00
2026-02,37.00
2026-03,37.00
2026-04,37.00
2026-05,37.00
2026-06,37.00
2026-07,37.00
